tmid,SCIENTIFIC_NAME,TPA
494,Quercus nigra,911.6194520000001
490,Pinus taeda,947.7277280000001
1994,Pinus virginiana,311.8972120000001
2000,Pinus taeda,732.1192520000003
1999,Ulmus alata,161.966652
1065,Pinus palustris,374.82640000000004
1070,Prunus serotina,87.001372
1067,Liriodendron tulipifera,305.87916600000005
1263,Liquidambar styraciflua,305.87916600000005
2145,Magnolia macrophylla,530.7750060000001
2151,Acer rubrum,524.75696
2152,Quercus alba,279.05825400000003
2030,Pinus taeda,529.0674580000008
1502,Quercus virginiana,1142.5333380000002
1496,Triadica sebifera,74.96528
492,Pinus taeda,537.3136420000001
2075,Carpinus caroliniana,74.96528
495,Carya aquatica,105.05551
2077,Magnolia virginiana,375.3469900000001
1500,Quercus laevis,305.87916600000005
2032,Pinus taeda,252.75793199999995
1068,Pinus palustris,78.23459799999999
2150,Magnolia macrophylla,692.741658
1494,Fraxinus pennsylvanica,536.793052
38,Fraxinus pennsylvanica,236.93193200000002
32,Cornus florida,899.5833600000001
497,Pinus taeda,219.398384
1555,Taxodium distichum,129.127694
99,Quercus texana,167.984698
93,Magnolia virginiana,1274.40976
90,Nyssa biflora,167.984698
1605,Pinus echinata,522.0082320000001
1612,Pinus taeda,242.94997800000002
1607,Oxydendrum arboreum,236.93193200000002
1632,Pinus taeda,309.6690740000002
2120,Liquidambar styraciflua,161.966652
2121,Quercus pagoda,74.96528
774,Carya alba,761.688892
1195,Oxydendrum arboreum,530.7750060000001
165,Pinus taeda,174.002744
1452,Sassafras albidum,74.96528
1603,Carya ovata,174.002744
191,Acer rubrum,404.91663000000017
1559,Magnolia macrophylla,167.984698
1550,Nyssa sylvatica,599.72224
1562,Magnolia virginiana,299.86112
806,Pinus taeda,564.1345540000002
188,Pinus taeda,416.952722
1194,Pinus taeda,93.019418
1814,Carya alba,74.96528
374,Pinus taeda,598.0146920000008
1155,Acer rubrum,192.056882
1159,Quercus muehlenbergii,167.984698
1156,Cercis canadensis,149.93056
1370,Juniperus virginiana,602.9915580000002
1551,Pinus taeda,535.0855040000008
1558,Pinus taeda,627.0637420000004
650,Pinus taeda,747.4246620000006
74,Pinus taeda,80.983326
92,Pinus taeda,456.8509060000005
25,Quercus laurifolia,605.7402860000001
827,Pinus taeda,651.6565160000008
839,Liquidambar styraciflua,1592.325017999999
843,Acer barbatum,224.89584000000002
2119,Liquidambar styraciflua,236.93193200000002
642,Pinus taeda,564.6551440000006
1896,Liquidambar styraciflua,93.019418
1837,Pinus taeda,219.398384
372,Oxydendrum arboreum,155.948606
363,Pinus taeda,666.9619260000009
26,Pinus taeda,627.5843320000006
187,Liquidambar styraciflua,917.6374980000002
1793,Liquidambar styraciflua,680.7055660000001
898,Quercus laurifolia,1130.497246
928,Pinus palustris,680.7055660000001
1161,Ostrya virginiana,224.89584000000002
1165,Fagus grandifolia,236.93193200000002
1153,Juniperus virginiana,108.32482799999998
1315,Pinus taeda,454.1021780000005
265,Pinus taeda,761.6888920000001
645,Quercus nigra,761.688892
1900,Liriodendron tulipifera,680.7055660000001
686,Pinus palustris,243.470568
691,Liquidambar styraciflua,1529.3958299999995
370,Pinus taeda,1207.024296000001
376,Liquidambar styraciflua,285.0763
885,Pinus taeda,351.2748060000004
1781,Carya alba,149.93056
1901,Pinus taeda,619.3381480000012
929,Pinus palustris,299.86112
241,Pinus taeda,144.433104
267,Pinus taeda,675.2081100000003
688,Pinus taeda,161.966652
687,Cornus florida,299.86112
286,Liquidambar styraciflua,677.9568380000003
513,Carya glabra,323.933304
759,Pinus taeda,957.0150920000004
729,Pinus palustris,423.49135800000045
737,Nyssa sylvatica,74.96528
339,Prunus serotina,599.72224
857,Carya glabra,129.127694
1355,Melia azedarach,18.054138000000002
1588,Liquidambar styraciflua,87.001372
1705,Acer rubrum,524.75696
758,Acer rubrum,422.97076800000013
1943,Liriodendron tulipifera,566.8832820000001
542,Cornus florida,174.002744
1938,Pinus palustris,375.3469900000001
